DateOfSale,Year,Month,price,division
1/5/2001,2001,1,185000,IMM
1/12/2001,2001,1,180000,IMM
1/17/2001,2001,1,182500,IMM
1/24/2001,2001,1,185000,IMM
2/9/2001,2001,2,200000,IMM
2/21/2001,2001,2,250000,IMM
3/22/2001,2001,3,285000,IMM
3/22/2001,2001,3,300000,IMM
5/17/2001,2001,5,305000,IMM
6/5/2001,2001,6,339000,IMM
6/6/2001,2001,6,360000,IMM
6/8/2001,2001,6,367000,IMM
7/6/2001,2001,7,355000,IMM
9/10/2001,2001,9,340000,IMM
9/28/2001,2001,9,340000,IMM
9/28/2001,2001,9,335000,IMM
10/1/2001,2001,10,335000,IMM
10/16/2001,2001,10,310000,IMM
10/19/2001,2001,10,305000,IMM
11/5/2001,2001,11,295000,IMM
11/27/2001,2001,11,320000,IMM
11/28/2001,2001,11,340000,IMM
12/10/2001,2001,12,332500,IMM
12/11/2001,2001,12,342000,IMM
12/19/2001,2001,12,360000,IMM
2/20/2002,2002,2,375000,IMM
3/5/2002,2002,3,370000,IMM
4/30/2002,2002,4,355000,IMM
5/28/2002,2002,5,355000,IMM
6/3/2002,2002,6,355000,IMM
7/30/2002,2002,7,380000,IMM
8/8/2002,2002,8,350000,IMM
11/14/2002,2002,11,372000,IMM
11/19/2002,2002,11,372000,IMM
11/21/2002,2002,11,380000,IMM
12/11/2002,2002,12,375000,IMM
12/16/2002,2002,12,370000,IMM
12/26/2002,2002,12,399000,IMM
1/10/2003,2003,1,400000,IMM
1/13/2003,2003,1,400000,IMM
1/13/2003,2003,1,400000,IMM
1/23/2003,2003,1,385000,IMM
1/23/2003,2003,1,370000,IMM
2/20/2003,2003,2,360000,IMM
2/25/2003,2003,2,370000,IMM
3/18/2003,2003,3,385000,IMM
3/24/2003,2003,3,385000,IMM
4/1/2003,2003,4,400000,IMM
5/9/2003,2003,5,430000,IMM
6/4/2003,2003,6,420000,IMM
6/9/2003,2003,6,430000,IMM
6/19/2003,2003,6,405000,IMM
6/19/2003,2003,6,400000,IMM
7/22/2003,2003,7,370000,IMM
7/30/2003,2003,7,375000,IMM
8/8/2003,2003,8,365000,IMM
8/11/2003,2003,8,353000,IMM
8/11/2003,2003,8,352000,IMM
8/15/2003,2003,8,360000,IMM
8/29/2003,2003,8,349500,IMM
9/9/2003,2003,9,340000,IMM
9/10/2003,2003,9,350000,IMM
9/16/2003,2003,9,350000,IMM
9/26/2003,2003,9,360000,IMM
10/24/2003,2003,10,355000,IMM
11/12/2003,2003,11,358000,IMM
12/3/2003,2003,12,350000,IMM
12/11/2003,2003,12,350000,IMM
12/17/2003,2003,12,343000,IMM
12/19/2003,2003,12,350000,IMM
12/29/2003,2003,12,355000,IMM
12/30/2003,2003,12,335000,IMM
12/30/2003,2003,12,335000,IMM
1/7/2004,2004,1,325000,IMM
1/7/2004,2004,1,325000,IMM
1/26/2004,2004,1,350000,IMM
1/27/2004,2004,1,350000,IMM
1/30/2004,2004,1,350000,IMM
2/9/2004,2004,2,350000,IMM
2/11/2004,2004,2,283000,IMM
2/12/2004,2004,2,286000,IMM
2/13/2004,2004,2,286000,IMM
3/11/2004,2004,3,275000,IMM
4/2/2004,2004,4,315000,IMM
4/7/2004,2004,4,310000,IMM
4/15/2004,2004,4,340000,IMM
4/19/2004,2004,4,350000,IMM
4/19/2004,2004,4,345000,IMM
4/19/2004,2004,4,350000,IMM
4/27/2004,2004,4,380000,IMM
6/2/2004,2004,6,380000,IMM
6/23/2004,2004,6,385000,IMM
6/24/2004,2004,6,385000,IMM
6/29/2004,2004,6,395000,IMM
8/4/2004,2004,8,370000,IMM
8/6/2004,2004,8,355000,IMM
8/17/2004,2004,8,365000,IMM
8/24/2004,2004,8,375000,IMM
9/15/2004,2004,9,355000,IMM
9/21/2004,2004,9,330000,IMM
9/22/2004,2004,9,325000,IMM
9/22/2004,2004,9,310000,IMM
9/30/2004,2004,9,310000,IMM
10/1/2004,2004,10,247500,IMM
10/7/2004,2004,10,247000,IMM
10/12/2004,2004,10,260000,IMM
10/13/2004,2004,10,275000,IMM
10/15/2004,2004,10,290000,IMM
10/15/2004,2004,10,300000,IMM
10/19/2004,2004,10,310000,IMM
10/19/2004,2004,10,330000,IMM
11/3/2004,2004,11,300000,IMM
11/11/2004,2004,11,320000,IMM
11/15/2004,2004,11,315000,IMM
11/23/2004,2004,11,305000,IMM
12/6/2004,2004,12,290000,IMM
12/8/2004,2004,12,275000,IMM
12/9/2004,2004,12,256500,IMM
12/9/2004,2004,12,250500,IMM
12/28/2004,2004,12,280000,IMM
12/28/2004,2004,12,255000,IMM
1/3/2005,2005,1,255500,IMM
1/5/2005,2005,1,275000,IMM
1/6/2005,2005,1,275000,IMM
1/6/2005,2005,1,290000,IMM
1/6/2005,2005,1,297000,IMM
1/19/2005,2005,1,295000,IMM
1/26/2005,2005,1,296000,IMM
1/27/2005,2005,1,295000,IMM
1/31/2005,2005,1,295000,IMM
2/16/2005,2005,2,295000,IMM
2/18/2005,2005,2,295000,IMM
2/23/2005,2005,2,295000,IMM
2/25/2005,2005,2,295000,IMM
3/4/2005,2005,3,275000,IMM
3/9/2005,2005,3,271000,IMM
4/6/2005,2005,4,281500,IMM
4/12/2005,2005,4,280000,IMM
4/14/2005,2005,4,285500,IMM
4/22/2005,2005,4,280000,IMM
4/25/2005,2005,4,273000,IMM
4/27/2005,2005,4,276000,IMM
5/5/2005,2005,5,251000,IMM
5/6/2005,2005,5,251000,IMM
5/9/2005,2005,5,265000,IMM
5/23/2005,2005,5,270000,IMM
5/25/2005,2005,5,274000,IMM
5/26/2005,2005,5,275000,IMM
6/1/2005,2005,6,300000,IMM
6/2/2005,2005,6,300000,IMM
6/2/2005,2005,6,300000,IMM
6/2/2005,2005,6,300000,IMM
6/2/2005,2005,6,300000,IMM
6/7/2005,2005,6,310000,IMM
6/7/2005,2005,6,307500,IMM
6/9/2005,2005,6,325000,IMM
6/29/2005,2005,6,311000,IMM
6/29/2005,2005,6,315000,IMM
7/5/2005,2005,7,320000,IMM
7/12/2005,2005,7,325000,IMM
7/13/2005,2005,7,325000,IMM
7/19/2005,2005,7,330000,IMM
7/21/2005,2005,7,327500,IMM
7/29/2005,2005,7,334500,IMM
8/17/2005,2005,8,332000,IMM
8/26/2005,2005,8,346000,IMM
8/30/2005,2005,8,340000,IMM
9/7/2005,2005,9,342500,IMM
9/13/2005,2005,9,342500,IMM
9/30/2005,2005,9,337000,IMM
10/4/2005,2005,10,325000,IMM
10/4/2005,2005,10,323500,IMM
10/4/2005,2005,10,302500,IMM
10/17/2005,2005,10,320000,IMM
10/17/2005,2005,10,322000,IMM
10/20/2005,2005,10,313000,IMM
10/28/2005,2005,10,305000,IMM
11/17/2005,2005,11,295000,IMM
11/28/2005,2005,11,295000,IMM
12/14/2005,2005,12,300000,IMM
12/14/2005,2005,12,301000,IMM
12/16/2005,2005,12,310000,IMM
12/16/2005,2005,12,310000,IMM
1/10/2006,2006,1,301500,IMM
1/17/2006,2006,1,306000,IMM
1/24/2006,2006,1,325000,IMM
1/25/2006,2006,1,310000,IMM
2/13/2006,2006,2,355000,IMM
2/13/2006,2006,2,365000,IMM
3/20/2006,2006,3,341000,IMM
3/30/2006,2006,3,348000,IMM
4/10/2006,2006,4,342000,IMM
4/10/2006,2006,4,340000,IMM
4/26/2006,2006,4,330000,IMM
4/26/2006,2006,4,325000,IMM
4/27/2006,2006,4,320000,IMM
5/2/2006,2006,5,303000,IMM
5/3/2006,2006,5,305000,IMM
5/16/2006,2006,5,305000,IMM
5/24/2006,2006,5,320000,IMM
5/31/2006,2006,5,320000,IMM
6/1/2006,2006,6,320000,IMM
6/1/2006,2006,6,325000,IMM
6/8/2006,2006,6,325000,IMM
6/13/2006,2006,6,340000,IMM
6/14/2006,2006,6,344000,IMM
6/20/2006,2006,6,345000,IMM
6/29/2006,2006,6,345000,IMM
6/29/2006,2006,6,345000,IMM
7/6/2006,2006,7,352500,IMM
7/7/2006,2006,7,365000,IMM
7/10/2006,2006,7,381000,IMM
7/19/2006,2006,7,360000,IMM
7/27/2006,2006,7,350000,IMM
8/10/2006,2006,8,360000,IMM
8/11/2006,2006,8,355500,IMM
9/12/2006,2006,9,370000,IMM
9/20/2006,2006,9,398000,IMM
9/27/2006,2006,9,420000,IMM
9/27/2006,2006,9,425000,IMM
9/27/2006,2006,9,432000,IMM
9/27/2006,2006,9,447000,IMM
10/4/2006,2006,10,447000,IMM
10/10/2006,2006,10,447000,IMM
10/19/2006,2006,10,447000,IMM
11/8/2006,2006,11,440000,IMM
11/9/2006,2006,11,430000,IMM
11/9/2006,2006,11,420000,IMM
11/15/2006,2006,11,420000,IMM
12/6/2006,2006,12,430000,IMM
12/7/2006,2006,12,440000,IMM
12/22/2006,2006,12,440000,IMM
1/5/2007,2007,1,440000,IMM
1/9/2007,2007,1,440000,IMM
1/9/2007,2007,1,440000,IMM
1/11/2007,2007,1,440000,IMM
1/11/2007,2007,1,446000,IMM
1/24/2007,2007,1,452000,IMM
1/26/2007,2007,1,452000,IMM
1/26/2007,2007,1,452000,IMM
1/29/2007,2007,1,452000,IMM
2/12/2007,2007,2,498000,IMM
3/1/2007,2007,3,485000,IMM
3/6/2007,2007,3,490000,IMM
3/8/2007,2007,3,490000,IMM
3/19/2007,2007,3,500000,IMM
4/17/2007,2007,4,482500,IMM
4/26/2007,2007,4,490000,IMM
5/14/2007,2007,5,485000,IMM
6/13/2007,2007,6,550000,IMM
7/13/2007,2007,7,675000,IMM
7/18/2007,2007,7,790000,IMM
7/26/2007,2007,7,875000,IMM
7/26/2007,2007,7,900000,IMM
8/7/2007,2007,8,875000,IMM
8/9/2007,2007,8,910000,IMM
8/20/2007,2007,8,940000,IMM
9/14/2007,2007,9,900000,IMM
9/28/2007,2007,9,925000,IMM
10/30/2007,2007,10,914000,IMM
10/30/2007,2007,10,915000,IMM
10/31/2007,2007,10,940000,IMM
10/31/2007,2007,10,955000,IMM
11/13/2007,2007,11,955000,IMM
11/14/2007,2007,11,950000,IMM
11/15/2007,2007,11,900000,IMM
11/23/2007,2007,11,900000,IMM
11/23/2007,2007,11,900000,IMM
12/4/2007,2007,12,800000,IMM
12/7/2007,2007,12,850000,IMM
12/31/2007,2007,12,825000,IMM
