Date,Price
Jan 2001,183125
Feb 2001,225000
Mar 2001,292500
Apr 2001,298224.026985502
May 2001,305000
Jun 2001,355333.333333333
Jul 2001,355000
Aug 2001,348129.691850487
Sep 2001,338333.333333333
Oct 2001,316666.666666667
Nov 2001,318333.333333333
Dec 2001,344833.333333333
Jan 2002,360896.209500673
Feb 2002,375000
Mar 2002,370000
Apr 2002,355000
May 2002,355000
Jun 2002,355000
Jul 2002,380000
Aug 2002,350000
Sep 2002,366589.770549842
Oct 2002,367062.744659442
Nov 2002,374666.666666667
Dec 2002,381333.333333333
Jan 2003,391000
Feb 2003,365000
Mar 2003,385000
Apr 2003,4E+05
May 2003,430000
Jun 2003,413750
Jul 2003,372500
Aug 2003,355900
Sep 2003,350000
Oct 2003,355000
Nov 2003,358000
Dec 2003,345428.571428571
Jan 2004,340000
Feb 2004,301250
Mar 2004,275000
Apr 2004,341428.571428571
May 2004,342599.404110187
Jun 2004,386250
Jul 2004,370002.413647108
Aug 2004,366250
Sep 2004,326000
Oct 2004,282437.5
Nov 2004,310000
Dec 2004,267833.333333333
Jan 2005,285944.444444444
Feb 2005,295000
Mar 2005,273000
Apr 2005,279333.333333333
May 2005,264333.333333333
Jun 2005,306850
Jul 2005,327000
Aug 2005,339333.333333333
Sep 2005,340666.666666667
Oct 2005,315857.142857143
Nov 2005,295000
Dec 2005,305250
Jan 2006,310625
Feb 2006,360000
Mar 2006,344500
Apr 2006,331400
May 2006,310600
Jun 2006,336125
Jul 2006,361700
Aug 2006,357750
Sep 2006,415333.333333333
Oct 2006,447000
Nov 2006,427500
Dec 2006,436666.666666667
Jan 2007,446000
Feb 2007,498000
Mar 2007,491250
Apr 2007,486250
May 2007,485000
Jun 2007,550000
Jul 2007,810000
Aug 2007,908333.333333333
Sep 2007,912500
Oct 2007,931000
Nov 2007,921000
Dec 2007,825000
Jan 2008,790600
Feb 2008,779900
Mar 2008,712666.666666667
Apr 2008,686666.666666667
May 2008,706666.666666667
Jun 2008,675000
Jul 2008,671900
Aug 2008,650000
Sep 2008,606666.666666667
Oct 2008,517500
Nov 2008,392928.571428571
Dec 2008,375000
Jan 2009,417333.333333333
Feb 2009,431500
Mar 2009,438428.571428571
Apr 2009,499166.666666667
May 2009,534464.786268274
Jun 2009,560666.666666667
Jul 2009,562500
Aug 2009,555750
Sep 2009,560008.883063858
Oct 2009,558750
Nov 2009,532500
Dec 2009,524500
Jan 2010,472583.333333333
Feb 2010,430000
Mar 2010,392571.428571429
Apr 2010,380000
May 2010,443125
Jun 2010,443000
Jul 2010,422400
Aug 2010,384250
Sep 2010,373000
Oct 2010,363500
Nov 2010,349875
Dec 2010,368250
Jan 2011,434666.666666667
Feb 2011,437500
Mar 2011,403428.571428571
Apr 2011,367434.011607259
May 2011,391500
Jun 2011,396000
Jul 2011,327500
Aug 2011,327500
Sep 2011,350000
Oct 2011,349250
Nov 2011,360000
Dec 2011,350000
Jan 2012,347166.666666667
Feb 2012,340000
Mar 2012,344000
Apr 2012,328333.333333333
May 2012,270714.285714286
Jun 2012,265500
Jul 2012,234333.333333333
Aug 2012,228000
Sep 2012,226500
Oct 2012,210750
Nov 2012,183750
Dec 2012,170000
Jan 2013,186500
Feb 2013,195500
Mar 2013,197500
Apr 2013,187500
May 2013,174375
Jun 2013,189833.333333333
Jul 2013,197750
Aug 2013,220000
Sep 2013,235000
Oct 2013,212500
Nov 2013,213416.666666667
Dec 2013,222500
