DateOfSale,Year,Month,price,division
1/12/2001,2001,1,130000,IOM
2/13/2001,2001,2,160000,IOM
2/22/2001,2001,2,180000,IOM
3/27/2001,2001,3,235000,IOM
3/28/2001,2001,3,250000,IOM
4/4/2001,2001,4,291500,IOM
6/8/2001,2001,6,260000,IOM
7/2/2001,2001,7,260000,IOM
7/5/2001,2001,7,260000,IOM
7/17/2001,2001,7,260000,IOM
9/4/2001,2001,9,250000,IOM
9/20/2001,2001,9,249000,IOM
9/21/2001,2001,9,230000,IOM
9/21/2001,2001,9,230000,IOM
10/1/2001,2001,10,230000,IOM
10/8/2001,2001,10,230000,IOM
10/16/2001,2001,10,230000,IOM
10/29/2001,2001,10,235000,IOM
11/2/2001,2001,11,240000,IOM
11/5/2001,2001,11,240000,IOM
11/15/2001,2001,11,240000,IOM
11/21/2001,2001,11,235000,IOM
11/27/2001,2001,11,260000,IOM
12/20/2001,2001,12,246000,IOM
1/3/2002,2002,1,262000,IOM
1/16/2002,2002,1,270000,IOM
1/30/2002,2002,1,277500,IOM
2/21/2002,2002,2,280000,IOM
3/26/2002,2002,3,275000,IOM
4/9/2002,2002,4,272000,IOM
4/9/2002,2002,4,270000,IOM
6/3/2002,2002,6,273000,IOM
6/13/2002,2002,6,272000,IOM
6/14/2002,2002,6,262000,IOM
6/25/2002,2002,6,265000,IOM
6/28/2002,2002,6,282500,IOM
7/11/2002,2002,7,282500,IOM
7/30/2002,2002,7,290000,IOM
8/1/2002,2002,8,275000,IOM
8/5/2002,2002,8,280000,IOM
8/19/2002,2002,8,280000,IOM
8/30/2002,2002,8,285000,IOM
9/17/2002,2002,9,275000,IOM
11/6/2002,2002,11,295000,IOM
12/31/2002,2002,12,296000,IOM
1/8/2003,2003,1,285000,IOM
1/10/2003,2003,1,285000,IOM
1/15/2003,2003,1,287000,IOM
1/16/2003,2003,1,280000,IOM
1/30/2003,2003,1,279000,IOM
2/3/2003,2003,2,277000,IOM
2/4/2003,2003,2,285000,IOM
2/10/2003,2003,2,285000,IOM
2/25/2003,2003,2,285000,IOM
2/26/2003,2003,2,275000,IOM
3/5/2003,2003,3,282500,IOM
3/6/2003,2003,3,282500,IOM
3/21/2003,2003,3,286000,IOM
3/24/2003,2003,3,285000,IOM
3/28/2003,2003,3,286500,IOM
4/21/2003,2003,4,290000,IOM
4/22/2003,2003,4,296000,IOM
4/23/2003,2003,4,286500,IOM
4/28/2003,2003,4,297000,IOM
4/28/2003,2003,4,300000,IOM
4/30/2003,2003,4,300000,IOM
5/8/2003,2003,5,296000,IOM
5/12/2003,2003,5,305000,IOM
6/13/2003,2003,6,306000,IOM
6/17/2003,2003,6,295000,IOM
